id,kind,parsed_dt,rrule,text,core
1,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Errands: buy milk every 3 weeks at Bunnings,every 3 weeks
2,recurrence+date,2025-09-15T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=2,Bills: each fortnight starting 2025-09-15 buy milk,each fortnight starting 2025-09-15
3,date-only,2024-11-15T00:00:00+00:00,,book dentist 2024-11-15 #work,2024-11-15
4,date-only,2025-06-11T00:00:00+00:00,,Task: water the plants 2025-06-11 for project X,2025-06-11
5,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,pay electricity bill every second week at 5:30pm — before lunch,every second week at 5:30pm
6,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Groceries: water the plants every 2 weeks,every 2 weeks
7,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,TODO: mow the lawn every Monday at 9am (evening),every Monday at 9am
8,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,every quarter book dentist,every quarter
9,recurrence+date,2026-07-17T00:00:00+00:00,FREQ=WEEKLY;BYDAY=MO,buy milk every week on Monday starting 2026-07-17 for project X,every week on Monday starting 2026-07-17
10,date-only,2025-05-25T00:00:00+00:00,,Groceries: 2025-05-25 clean garage,2025-05-25
11,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Next: every 2 months buy milk — asap,every 2 months
12,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Next: pay electricity bill every Wednesday #home,every Wednesday
13,date-only,2025-05-04T00:00:00+00:00,,Task: clean garage 04/05/2025,04/05/2025
14,date-only,2026-02-08T00:00:00+00:00,,call plumber 08/02/2026 (evening),08/02/2026
15,date-only,2024-07-10T00:00:00+00:00,,Chore: 10/07/2024 mow the lawn #home,10/07/2024
16,recurrence-only,,FREQ=MONTHLY,Plan: pay electricity bill every month on the 1st after work,every month on the 1st
17,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Task: every Tuesday on weekends review PR,every Tuesday on weekends
18,recurrence-only,,FREQ=DAILY;INTERVAL=3,Groceries: book dentist every 3 days on weekends for project X,every 3 days on weekends
19,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Reminder: every Friday review PR #work,every Friday
20,date-only,2025-10-04T00:00:00+00:00,,Note: 04/10/2025 wash car — before lunch,04/10/2025
21,date-only,2026-05-21T00:00:00+00:00,,Bills: mow the lawn 05/21/2026,05/21/2026
22,date-only,2025-01-23T00:00:00+00:00,,Reminder: 23/01/2025 water the plants #home,23/01/2025
23,date-only,2026-02-08T00:00:00+00:00,,TODO: call plumber 08/02/2026,08/02/2026
24,date-only,2026-07-22T00:00:00+00:00,,Task: backup photos 22/07/2026 after work,22/07/2026
25,recurrence-only,,FREQ=MONTHLY,Follow up: backup photos every month,every month
26,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Bills: water the plants every Monday at 5:30pm — asap,every Monday at 5:30pm
27,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Reminder: every Tuesday email client — before lunch,every Tuesday
28,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Reminder: email client every month on weekdays after work,every month on weekdays
29,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Note: every 2 weeks pay electricity bill at Bunnings,every 2 weeks
30,date-only,2026-12-01T00:00:00+00:00,,Errands: 01/12/2026 review PR with John,01/12/2026
31,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Follow up: every week on Monday on weekends email client after work,every week on Monday on weekends
32,recurrence-only,,FREQ=DAILY;INTERVAL=3,Note: clean garage every 3 days — asap,every 3 days
33,date-only,2026-07-26T00:00:00+00:00,,Note: 2026-07-26 pay electricity bill,2026-07-26
34,date-only,2024-10-18T00:00:00+00:00,,Follow up: call plumber 18/10/2024 (low),18/10/2024
35,date-only,2026-07-02T00:00:00+00:00,,TODO: clean garage 2026-07-02 after work,2026-07-02
36,recurrence-only,,FREQ=DAILY;INTERVAL=2,TODO: every second day mow the lawn — before lunch,every second day
37,date-only,2024-10-31T00:00:00+00:00,,Note: wash car 31/10/2024 (evening),31/10/2024
38,date-only,2025-09-07T00:00:00+00:00,,TODO: 07/09/2025 buy milk,07/09/2025
39,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Note: email client every 3 weeks on weekends,every 3 weeks on weekends
40,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,every Sunday backup photos with John,every Sunday
41,recurrence+date,2025-12-06T00:00:00+00:00,FREQ=MONTHLY;INTERVAL=3,Task: backup photos every quarter starting 2025-12-06,every quarter starting 2025-12-06
42,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Chore: mow the lawn every Wednesday,every Wednesday
43,date-only,2024-11-13T00:00:00+00:00,,Plan: email client 11/13/2024,11/13/2024
44,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,book dentist every week on Monday,every week on Monday
45,date-only,2025-10-30T00:00:00+00:00,,Reminder: 2025-10-30 email client (low),2025-10-30
46,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,every Saturday on weekends clean garage after work,every Saturday on weekends
47,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Chore: call plumber every Tuesday on weekdays,every Tuesday on weekdays
